description;cnt;example
Завод «Промышленная Энергетика» — производство деталей и сборочных единиц трубопроводов для объектов атомной и тепловой энергетики. Изготовление по ГОСТ, ОСТ, СТО, СТО ЦКТИ, СТО СРО-П, ТУ и КД заказчика.;45;https://prom-en.forgotaboutdre.ru/
Соединительные детали трубопроводов (СДТ) — отводы, переходы, тройники, днища и заглушки для сборки трубопроводных систем ТЭС, АЭС, нефтегазового комплекса и химической промышленности. В реестре — 4 430 типоразмеров по действующим ГОСТ, ОСТ и СТО ЦКТИ, с прослеживаемостью материала и полным комплект…;21;https://prom-en.forgotaboutdre.ru/catalog/sdt/
Каталог соединительных деталей трубопроводов, фланцев и крепежа. Запрос коммерческого предложения без корзины.;21;https://prom-en.forgotaboutdre.ru/catalog/
Стальные приварные тройники для ответвления от магистрали: равнопроходные и переходные исполнения по ГОСТ, ОСТ и отраслевым стандартам энергетики. В каталоге — DN 0–1600, PN 0.6–100, 491 типоразмеров. Назначение Группа закрывает задачу: ответвление потока от магистрали без сварного вреза «по месту».…;19;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/
Стальные приварные отводы для изменения направления трубопровода: крутоизогнутые штампованные по ГОСТ 17375-2001 и ГОСТ 30753-2001, гнутые по СТО ЦКТИ 321.01/321.02/321.05, на давление до 100 МПа по ГОСТ 22793-83, колена с опорой по ГОСТ 22818-83 и сварные секторные по ОСТ 36-21-77. В реестре 3 120…;19;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/
Концентрические и эксцентрические переходы для стыковки участков трубопровода разных диаметров — штампованные, точёные и сварные исполнения. В каталоге — DN 15–1600, PN 1–37.27, 441 типоразмеров. Назначение Группа закрывает задачу: изменение условного прохода на участке трассы с сохранением прочност…;19;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/
ГОСТ 7795-1970 — норматив изготовления изделий в каталоге «Промышленная Энергетика». В реестре по этому документу — 1 080 типоразмеров, охват DN 6–48. Статус Действует. PDF стандарта на сайт не выкладывается: страница служит для навигации по типоразмерам и сверки обозначений. Что регламентирует Болт…;18;https://prom-en.forgotaboutdre.ru/normativy/gost-7795-1970/
"Шпильки для фланцевых соединений и общепромышленного крепежа. В реестре — 3 012 позиций; подбор по размеру резьбы/длине, классу прочности и нормативу. Назначение Шпильки применяются в сборке фланцевых пар трубопроводов и креплении оборудования на объектах ТЭС, АЭС и промышленности. Исполнение выбира…";17;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shpilki/
"Стальные трубы для трубопроводов ТЭС, АЭС, нефтегаза и ЖКХ: бесшовные горячедеформированные по ГОСТ 8732-78, электросварные по ГОСТ 10704-91, водогазопроводные по ГОСТ 3262-75 и предызолированные ППУ. Диапазон диаметров и толщин стенки — под рабочие давления и температуры объекта; марки стали 20, 09…";17;https://prom-en.forgotaboutdre.ru/catalog/truby/
Приварные и воротниковые фланцы для разъёмных соединений трубопроводов по ГОСТ 12820/12821, ГОСТ 33259 и смежным стандартам. В каталоге — DN 10–4000, PN 1–250, 655 типоразмеров. Назначение Группа закрывает задачу: разъёмное соединение труб и арматуры с возможностью обслуживания. Подбор ведётся по ус…;17;https://prom-en.forgotaboutdre.ru/catalog/flancy/
