h1;cnt;example
Каталогпродукции;538;https://prom-en.forgotaboutdre.ru/author/admin/
Соединительныедеталитрубопровода;21;https://prom-en.forgotaboutdre.ru/catalog/sdt/
Тройникистальныеприварные;19;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/
Переходыстальныеприварные;19;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/
Отводыстальныеприварные;19;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/
Шпилькифланцевыеи монтажные;17;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shpilki/
Фланцытрубопроводныестальные;17;https://prom-en.forgotaboutdre.ru/catalog/flancy/
Трубыстальныебесшовные и сварные;17;https://prom-en.forgotaboutdre.ru/catalog/truby/
Крепёжфланцевыйи монтажный;17;https://prom-en.forgotaboutdre.ru/catalog/krepezh/
Болтыкрепежныестальные;17;https://prom-en.forgotaboutdre.ru/catalog/krepezh/bolty/
Изоляцияи покрытиятрубы и фасонина в ППУ;15;https://prom-en.forgotaboutdre.ru/catalog/izolyatsiya/
Тройник;12;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/gost-17376-2001/
Заглушкиэллиптическиеи фланцевые;12;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/
Отвод90°;8;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-17375-2001-90/
Днищаэллиптическиеотбортованные;8;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/
Отвод45°;7;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-17375-2001-45/
Гайка;7;https://prom-en.forgotaboutdre.ru/catalog/krepezh/gayki/seriya/gost-10605-1994/
Переход;6;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/seriya/gost-17378-2001/
Отвод60°;6;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-17375-2001-60/
Болт;6;https://prom-en.forgotaboutdre.ru/catalog/krepezh/bolty/seriya/gost-10602-1994/
Гайкишестигранныеи фланцевые;5;https://prom-en.forgotaboutdre.ru/catalog/krepezh/gayki/
Винтыпо ГОСТ11738;5;https://prom-en.forgotaboutdre.ru/catalog/krepezh/vinty/
Шпилька;4;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shpilki/seriya/gost-10494-1980/
Точеныедеталистальные;4;https://prom-en.forgotaboutdre.ru/catalog/tochenye/
Заглушка;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/seriya/ost-34-10-428-1990/
Штуцер;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/seriya/ost-24-125-11-1989/
Шайбыпружинныеи усиленные;3;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/
Отвод30°;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/ost-24-125-04-1989-30/
Отвод15°;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/ost-24-125-04-1989-15/
Отвод;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/ost-34-10-420-1990/
Клапанобратный подъёмный;3;https://prom-en.forgotaboutdre.ru/catalog/armatura/armatura-klapany/seriya/gost-33257-2015/
Шайба;2;https://prom-en.forgotaboutdre.ru/catalog/krepezh/shayby/seriya/gost-11371-1978/
Фланецтрубопроводный;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-01/seriya/gost-33259-2015/
Трубаэ/с;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-es/seriya/gost-10704-1991/
Трубаб/ш;2;https://prom-en.forgotaboutdre.ru/catalog/truby/truby-bsh/seriya/gost-8732-1978/
ТрубаППУ;2;https://prom-en.forgotaboutdre.ru/catalog/izolyatsiya/izolyatsiya-troyniki/seriya/gost-30732-2020/
Тройникпереходной;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/troyniki/seriya/gost-22822-1983/
