sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_height_mm,dim_h1_mm,dim_surface_area_m2,dim_volume_dm3,dim_gost_designation,description,attributes
гост-6533-1978-1-133-133-6---1-09г2с,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s6 09Г2С ГОСТ 6533-1978,133,,133,6,,,,1.3,09Г2С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,09Г2С,,,133-6,False,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 09Г2С. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6
гост-6533-1978-1-133-133-6---1-09г2сP,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое П D133 H33 s6 09Г2С ГОСТ 6533-1978,133,,133,6,,,,1.3,09Г2С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,09Г2С,,,133-6,True,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 09Г2С. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6; supervised=Да
гост-6533-1978-1-133-133-6---1-12х18н10т,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s6 12Х18Н10Т ГОСТ 6533-1978,133,,133,6,,,,1.3,12Х18Н10Т,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,12Х18Н10Т,,,133-6,False,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 12Х18Н10Т. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6
гост-6533-1978-1-133-133-6---1-12х18н10тP,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое П D133 H33 s6 12Х18Н10Т ГОСТ 6533-1978,133,,133,6,,,,1.3,12Х18Н10Т,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,12Х18Н10Т,,,133-6,True,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 12Х18Н10Т. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6; supervised=Да
гост-6533-1978-1-133-133-6---1-20,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s6 Ст20 ГОСТ 6533-1978,133,,133,6,,,,1.3,20,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,20,,,133-6,False,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 20. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=20; execution=1; material_grade=20; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6
гост-6533-1978-1-133-133-6---1-13хфа,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s6 13ХФА ГОСТ 6533-1978,133,,133,6,,,,1.3,13ХФА,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,13ХФА,,,133-6,False,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 13ХФА. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=13ХФА; execution=1; material_grade=13ХФА; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6
гост-6533-1978-1-133-133-6---1-17г1с,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s6 17Г1С ГОСТ 6533-1978,133,,133,6,,,,1.3,17Г1С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,17Г1С,,,133-6,False,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 17Г1С. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6
гост-6533-1978-1-133-133-6---1-17г1сP,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое П D133 H33 s6 17Г1С ГОСТ 6533-1978,133,,133,6,,,,1.3,17Г1С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,17Г1С,,,133-6,True,гост-6533-1978-1-133-133-6---1,1,33,25,0.50,1.3,133-6,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 6 мм. Площадь внутренней поверхности 0.50 м². Объём 1.3 дм³. Марка стали 17Г1С. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-6.",dn=133; outer_diameter=133; wall_thickness=6; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=33; h1_mm=25; surface_area_m2=0.50; volume_dm3=1.3; gost_designation=133-6; supervised=Да
гост-6533-1978-1-133-133-8---1-09г2с,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s8 09Г2С ГОСТ 6533-1978,133,,133,8,,,,1.7,09Г2С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,09Г2С,,,133-8,False,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 09Г2С. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8
гост-6533-1978-1-133-133-8---1-09г2сP,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое П D133 H33 s8 09Г2С ГОСТ 6533-1978,133,,133,8,,,,1.7,09Г2С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,09Г2С,,,133-8,True,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 09Г2С. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=09Г2С; execution=1; material_grade=09Г2С; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8; supervised=Да
гост-6533-1978-1-133-133-8---1-12х18н10т,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s8 12Х18Н10Т ГОСТ 6533-1978,133,,133,8,,,,1.7,12Х18Н10Т,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,12Х18Н10Т,,,133-8,False,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 12Х18Н10Т. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8
гост-6533-1978-1-133-133-8---1-12х18н10тP,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое П D133 H33 s8 12Х18Н10Т ГОСТ 6533-1978,133,,133,8,,,,1.7,12Х18Н10Т,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,12Х18Н10Т,,,133-8,True,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 12Х18Н10Т. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8; supervised=Да
гост-6533-1978-1-133-133-8---1-20,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s8 Ст20 ГОСТ 6533-1978,133,,133,8,,,,1.7,20,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,20,,,133-8,False,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 20. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=20; execution=1; material_grade=20; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8
гост-6533-1978-1-133-133-8---1-13хфа,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s8 13ХФА ГОСТ 6533-1978,133,,133,8,,,,1.7,13ХФА,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,13ХФА,,,133-8,False,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 13ХФА. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=13ХФА; execution=1; material_grade=13ХФА; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8
гост-6533-1978-1-133-133-8---1-17г1с,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое D133 H33 s8 17Г1С ГОСТ 6533-1978,133,,133,8,,,,1.7,17Г1С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,17Г1С,,,133-8,False,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 17Г1С. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8
гост-6533-1978-1-133-133-8---1-17г1сP,ГОСТ 6533-1978,ГОСТ 6533-1978,днища,Днища,ДЭ,Днище эллиптическое П D133 H33 s8 17Г1С ГОСТ 6533-1978,133,,133,8,,,,1.7,17Г1С,1,pdf/заглушки-и-днища/ГОСТ_6533_1978.pdf,,,,,,1,,17Г1С,,,133-8,True,гост-6533-1978-1-133-133-8---1,1,33,25,0.02,0.45,133-8,"Днище эллиптическое отбортованное по ГОСТ 6533-1978. Наружный диаметр D 133 мм. Высота эллиптической части H 33 мм. Высота борта h1 25 мм. Толщина стенки s 8 мм. Площадь внутренней поверхности 0.02 м². Объём 0.45 дм³. Марка стали 17Г1С. Масса 1.7 кг. Рабочее давление PN до 6,3 МПа. Условное обозначение: 133-8.",dn=133; outer_diameter=133; wall_thickness=8; mass_kg=1.7; material=17Г1С; execution=1; material_grade=17Г1С; height_mm=33; h1_mm=25; surface_area_m2=0.02; volume_dm3=0.45; gost_designation=133-8; supervised=Да
