field,description
sku,Уникальный артикул/SKU товара
title,Название товара для каталога
normative_key,Нормализованный ключ норматива
full_designation,Полное обозначение норматива
category,Категория каталога
product_family,Семейство изделия
product_type,Тип/маркировка исполнения
dn,"Номинальный диаметр DN/Dу, мм"
dn_branch,"Диаметр ответвления, мм"
outer_diameter,"Наружный диаметр, мм"
wall_thickness,"Толщина стенки, мм"
pn,"Номинальное давление PN, МПа"
angle,"Угол, градусы"
radius,Радиус изгиба
mass_kg,"Масса, кг"
material,Материал
thread_size,"Номинальный диаметр резьбы, мм"
length_mm,"Длина крепежа, мм"
thread_pitch,"Шаг резьбы, мм"
strength_class,Класс прочности
accuracy_class,Класс точности
execution,Исполнение
coating,Покрытие
material_grade,Марка стали
washer_type,Тип шайбы (Л/Н/Т/ОТ)
nominal_d_mm,"Номинальный диаметр, мм"
gost_designation,Условное обозначение по ГОСТ
standard_page,Страница PDF-источника
pdf_path,Относительный путь к PDF
description,Краткое описание для карточки
attributes,Сводные характеристики (JSON-совместимая строка)
woo_type,Тип WooCommerce: simple|variable|variation
parent_sku,SKU родительского variable product
attr_steel,Атрибут марки стали
attr_supervised,Атрибут надзора: Нет|Да
regular_price,Цена (пусто = по запросу)
stock_status,Статус наличия
manage_stock,Управление остатками
