sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,description,attributes,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_technology,dim_seam_type,dim_purpose,dim_shell,dim_source_subcategory,dim_gost_designation,dim_mass_method
гост-10704-91-эс-108x4-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х4 ГОСТ 10704-1991,100,,108,4,,,,,,10.26,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,108х4-10,False,гост-10704-91-эс-108x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 4 мм. Теоретическая масса 10.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 108х4-10.,dn=100; outer_diameter=108; wall_thickness=4; mass_kg=10.26; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х4-10; source_subcategory=Электросварные,variable,,10|20|Ст3сп,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х4-10,theoretical_kg_per_m
гост-10704-91-эс-108x4-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х4 Ст10 ГОСТ 10704-1991,100,,108,4,,,,,,10.26,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,108х4-10,False,гост-10704-91-эс-108x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 4 мм. Теоретическая масса 10.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 108х4-10.,dn=100; outer_diameter=108; wall_thickness=4; mass_kg=10.26; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х4-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-108x4-bare,10,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х4-10,theoretical_kg_per_m
гост-10704-91-эс-108x4-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х4 Ст20 ГОСТ 10704-1991,100,,108,4,,,,,,10.26,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,108х4-20,False,гост-10704-91-эс-108x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 4 мм. Теоретическая масса 10.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 108х4-20.,dn=100; outer_diameter=108; wall_thickness=4; mass_kg=10.26; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х4-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-108x4-bare,20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х4-20,theoretical_kg_per_m
гост-10704-91-эс-108x4-bare-ст3сп,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х4 Ст3сп ГОСТ 10704-1991,100,,108,4,,,,,,10.26,Ст3сп,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,Ст3сп,,,108х4-Ст3сп,False,гост-10704-91-эс-108x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 4 мм. Теоретическая масса 10.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст3сп. Условное обозначение: 108х4-Ст3сп.,dn=100; outer_diameter=108; wall_thickness=4; mass_kg=10.26; material_grade=Ст3сп; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х4-Ст3сп; source_subcategory=Электросварные,variation,гост-10704-91-эс-108x4-bare,Ст3сп,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х4-Ст3сп,theoretical_kg_per_m
гост-10704-91-эс-108x5-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х5 ГОСТ 10704-1991,100,,108,5,,,,,,12.70,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,108х5-10,False,гост-10704-91-эс-108x5-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 5 мм. Теоретическая масса 12.70 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 108х5-10.,dn=100; outer_diameter=108; wall_thickness=5; mass_kg=12.70; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х5-10; source_subcategory=Электросварные,variable,,10|20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х5-10,theoretical_kg_per_m
гост-10704-91-эс-108x5-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х5 Ст10 ГОСТ 10704-1991,100,,108,5,,,,,,12.70,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,108х5-10,False,гост-10704-91-эс-108x5-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 5 мм. Теоретическая масса 12.70 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 108х5-10.,dn=100; outer_diameter=108; wall_thickness=5; mass_kg=12.70; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х5-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-108x5-bare,10,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х5-10,theoretical_kg_per_m
гост-10704-91-эс-108x5-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 108х5 Ст20 ГОСТ 10704-1991,100,,108,5,,,,,,12.70,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,108х5-20,False,гост-10704-91-эс-108x5-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 108 мм. Толщина стенки 5 мм. Теоретическая масса 12.70 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 108х5-20.,dn=100; outer_diameter=108; wall_thickness=5; mass_kg=12.70; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=108х5-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-108x5-bare,20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,108х5-20,theoretical_kg_per_m
гост-10704-91-эс-114x4-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 114х4 ГОСТ 10704-1991,100,,114,4,,,,,,10.85,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,114х4-10,False,гост-10704-91-эс-114x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 114 мм. Толщина стенки 4 мм. Теоретическая масса 10.85 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 114х4-10.,dn=100; outer_diameter=114; wall_thickness=4; mass_kg=10.85; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=114х4-10; source_subcategory=Электросварные,variable,,10|20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,114х4-10,theoretical_kg_per_m
гост-10704-91-эс-114x4-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 114х4 Ст10 ГОСТ 10704-1991,100,,114,4,,,,,,10.85,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,114х4-10,False,гост-10704-91-эс-114x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 114 мм. Толщина стенки 4 мм. Теоретическая масса 10.85 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 114х4-10.,dn=100; outer_diameter=114; wall_thickness=4; mass_kg=10.85; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=114х4-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-114x4-bare,10,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,114х4-10,theoretical_kg_per_m
гост-10704-91-эс-114x4-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 114х4 Ст20 ГОСТ 10704-1991,100,,114,4,,,,,,10.85,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,114х4-20,False,гост-10704-91-эс-114x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 114 мм. Толщина стенки 4 мм. Теоретическая масса 10.85 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 114х4-20.,dn=100; outer_diameter=114; wall_thickness=4; mass_kg=10.85; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=114х4-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-114x4-bare,20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,114х4-20,theoretical_kg_per_m
