sku,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,angle,radius,pn,mass_kg,material,material_grade,execution,gost_designation,normative_key,pdf_path,standard_page,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,coating,washer_type,nominal_d_mm,supervised,base_sku,dim_execution,dim_bend_type,dim_radius_ratio,dim_connection,dim_construction,dim_radius_mm,dim_f_mm,dim_h_mm,dim_c_mm,dim_b_mm,dim_gost_designation,description,attributes,dim_w_mm,dim_straight_length,dim_angle_length,dim_bend_length_l,dim_temperature_c,dim_pressure_standard,dim_length_l,dim_sector_h,dim_semi_sector_h_22_30,dim_pn_non_aggressive,dim_pn_aggressive,dim_arc_length,dim_developed_length,dim_developed_b,dim_wall_s1,dim_wall_sk,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_inner_diameter,dim_straight_length_1,dim_height_h,dim_figure,dim_pipe_od,dim_pipe_wall,dim_dao,dim_wall_s2,dim_outer_d_branch,dim_length,dim_with_support,dim_support_d,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_equal_pass,dim_temperature,dim_height_mm,dim_cap_kind,dim_dimension_a,dim_flange_height_mm,dim_h1_mm,dim_surface_area_m2,dim_volume_dm3,dim_d_inner,dim_flange_thickness,dim_pn_mpa,dim_page,dim_bolt_circle_d,dim_stud_count,dim_outer_diameter,dim_h4,dim_bolt_d,dim_flange_type,dim_seal_face,dim_series,dim_mass_kg,dim_thread_size,dim_length_mm,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class,equal_pass,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock
ост-24-125-21-1989-100-2-108-5,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 ОСТ 24.125.21-1989,100,,108,5,,,,,,,,,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 08Х18Н10Т. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=08Х18Н10Т; execution=2; material_grade=08Х18Н10Т; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variable,,08Х18Н10Т|09Г2С|10|10Г2|10Г2С1|10Х17Н13М2Т|12Х18Н10Т|13ХФА|17Г1С|17Г1С-У|17ГС|20,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-08х18н10т,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 08Х18Н10Т ОСТ 24.125.21-1989,100,,108,5,,,,,,,08Х18Н10Т,08Х18Н10Т,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 08Х18Н10Т. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=08Х18Н10Т; execution=2; material_grade=08Х18Н10Т; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,08Х18Н10Т,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-09г2с,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 09Г2С ОСТ 24.125.21-1989,100,,108,5,,,,,,,09Г2С,09Г2С,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 09Г2С. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=09Г2С; execution=2; material_grade=09Г2С; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,09Г2С,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-10,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 Ст10 ОСТ 24.125.21-1989,100,,108,5,,,,,,,10,10,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 10. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=10; execution=2; material_grade=10; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,10,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-10г2,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 10Г2 ОСТ 24.125.21-1989,100,,108,5,,,,,,,10Г2,10Г2,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 10Г2. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=10Г2; execution=2; material_grade=10Г2; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,10Г2,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-10г2с1,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 10Г2С1 ОСТ 24.125.21-1989,100,,108,5,,,,,,,10Г2С1,10Г2С1,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 10Г2С1. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=10Г2С1; execution=2; material_grade=10Г2С1; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,10Г2С1,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-10х17н13м2т,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 10Х17Н13М2Т ОСТ 24.125.21-1989,100,,108,5,,,,,,,10Х17Н13М2Т,10Х17Н13М2Т,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 10Х17Н13М2Т. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=10Х17Н13М2Т; execution=2; material_grade=10Х17Н13М2Т; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,10Х17Н13М2Т,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-12х18н10т,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 12Х18Н10Т ОСТ 24.125.21-1989,100,,108,5,,,,,,,12Х18Н10Т,12Х18Н10Т,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 12Х18Н10Т. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=12Х18Н10Т; execution=2; material_grade=12Х18Н10Т; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,12Х18Н10Т,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-13хфа,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 13ХФА ОСТ 24.125.21-1989,100,,108,5,,,,,,,13ХФА,13ХФА,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 13ХФА. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=13ХФА; execution=2; material_grade=13ХФА; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,13ХФА,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-17г1с,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 17Г1С ОСТ 24.125.21-1989,100,,108,5,,,,,,,17Г1С,17Г1С,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 17Г1С. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=17Г1С; execution=2; material_grade=17Г1С; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,17Г1С,Нет,,onbackorder,no
ост-24-125-21-1989-100-2-108-5-17г1с-у,ОСТ 24.125.21-1989,днища,Днища,ДЭ,Днище эллиптическое D108 H s5 17Г1С-У ОСТ 24.125.21-1989,100,,108,5,,,,,,,17Г1С-У,17Г1С-У,2,108-5,k,pdf/прочее/ОСТ_24_125_21_89.pdf,1,,,,,,,,,False,ост-24-125-21-1989-100-2-108-5,2,,,,,,,,,,108-5,"Днище эллиптическое отбортованное по ОСТ 24.125.21-1989. Наружный диаметр D 108 мм. Толщина стенки s 5 мм. Марка стали 17Г1С-У. Рабочее давление PN до 6,3 МПа. Условное обозначение: 108-5.",dn=100; outer_diameter=108; wall_thickness=5; material=17Г1С-У; execution=2; material_grade=17Г1С-У; gost_designation=108-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variation,ост-24-125-21-1989-100-2-108-5,17Г1С-У,Нет,,onbackorder,no
