sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_bend_type,dim_radius_ratio,dim_connection,dim_construction,dim_radius_mm,dim_f_mm,dim_h_mm,dim_c_mm,dim_b_mm,dim_gost_designation,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,description,attributes,dim_w_mm,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_equal_pass,dim_length,dim_temperature,dim_height_mm,dim_cap_kind,dim_dimension_a,dim_flange_height_mm,dim_h1_mm,dim_surface_area_m2,dim_volume_dm3,dim_d_inner,dim_flange_thickness,dim_pn_mpa,dim_page,dim_bolt_circle_d,dim_stud_count,dim_outer_diameter,dim_h4,dim_bolt_d,dim_flange_type,dim_seal_face,dim_series,dim_mass_kg,dim_thread_size,dim_length_mm,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class,dim_straight_length,dim_angle_length,dim_bend_length_l,dim_temperature_c,dim_pressure_standard,dim_length_l,dim_sector_h,dim_semi_sector_h_22_30,dim_pn_non_aggressive,dim_pn_aggressive,dim_arc_length,dim_developed_length,dim_developed_b,dim_wall_s1,dim_wall_sk,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_inner_diameter,dim_straight_length_1,dim_height_h,dim_figure,dim_pipe_od,dim_pipe_wall,dim_dao,dim_wall_s2,dim_with_support,dim_support_d
сто-321-06-01-175-219-28-30-13-73-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 30° 219×28 исп. 001 СТО 321.06,175,,219,28,,,13.73,30,375,31.7,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,001,,12Х1МФ ТУ 14-3Р-55,,,30°-219x28-R375-001,False,,001,,,,,,,,,,30°-219x28-R375-001,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 30°. DN 175. Наружный диаметр 219 мм. Толщина стенки 28 мм. Исполнение 001. PN 13.73 МПа. Температура 545°C. R 375 мм. l₂ 196 мм. b 101 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 31.7 кг.,"dn=175; outer_diameter=219; wall_thickness=28; pn=13.73; angle=30; radius=375; mass_kg=31.7; material=12Х1МФ ТУ 14-3Р-55; execution=001; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=30°-219x28-R375-001; inner_diameter=164; straight_length=65; straight_length_1=см. п. 4.2; arc_length=196; developed_b=101; wall_s1=23,1; wall_sk=24,0; temperature_c=545; pressure_group=p = 13,73 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,13.73,,,,,,,,,,,,,,,,,219,,,,,,31.7,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-02-175-219-28-45-13-73-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 45° 219×28 исп. 002 СТО 321.06,175,,219,28,,,13.73,45,375,48.4,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,002,,12Х1МФ ТУ 14-3Р-55,,,45°-219x28-R375-002,False,,002,,,,,,,,,,45°-219x28-R375-002,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 45°. DN 175. Наружный диаметр 219 мм. Толщина стенки 28 мм. Исполнение 002. PN 13.73 МПа. Температура 545°C. R 375 мм. l₂ 295 мм. b 155 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 48.4 кг.,"dn=175; outer_diameter=219; wall_thickness=28; pn=13.73; angle=45; radius=375; mass_kg=48.4; material=12Х1МФ ТУ 14-3Р-55; execution=002; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=45°-219x28-R375-002; inner_diameter=164; straight_length=65; straight_length_1=см. п. 4.2; arc_length=295; developed_b=155; wall_s1=23,1; wall_sk=24,0; temperature_c=545; pressure_group=p = 13,73 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,13.73,,,,,,,,,,,,,,,,,219,,,,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-03-175-219-28-60-13-73-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 60° 219×28 исп. 003 СТО 321.06,175,,219,28,,,13.73,60,375,64.2,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,003,,12Х1МФ ТУ 14-3Р-55,,,60°-219x28-R375-003,False,,003,,,,,,,,,,60°-219x28-R375-003,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 60°. DN 175. Наружный диаметр 219 мм. Толщина стенки 28 мм. Исполнение 003. PN 13.73 МПа. Температура 545°C. R 375 мм. l₂ 393 мм. b 216 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 64.2 кг.,"dn=175; outer_diameter=219; wall_thickness=28; pn=13.73; angle=60; radius=375; mass_kg=64.2; material=12Х1МФ ТУ 14-3Р-55; execution=003; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=60°-219x28-R375-003; inner_diameter=164; straight_length=65; straight_length_1=см. п. 4.2; arc_length=393; developed_b=216; wall_s1=23,1; wall_sk=24,0; temperature_c=545; pressure_group=p = 13,73 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,13.73,,,,,,,,,,,,,,,,,219,,,,,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-04-175-219-28-90-13-73-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 90° 219×28 исп. 004 СТО 321.06,175,,219,28,,,13.73,90,375,96.7,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,004,,12Х1МФ ТУ 14-3Р-55,,,90°-219x28-R375-004,False,,004,,,,,,,,,,90°-219x28-R375-004,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 90°. DN 175. Наружный диаметр 219 мм. Толщина стенки 28 мм. Исполнение 004. PN 13.73 МПа. Температура 545°C. R 375 мм. l₂ 589 мм. b 375 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 96.7 кг.,"dn=175; outer_diameter=219; wall_thickness=28; pn=13.73; angle=90; radius=375; mass_kg=96.7; material=12Х1МФ ТУ 14-3Р-55; execution=004; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=90°-219x28-R375-004; inner_diameter=164; straight_length=65; straight_length_1=см. п. 4.2; arc_length=589; developed_b=375; wall_s1=23,1; wall_sk=24,0; temperature_c=545; pressure_group=p = 13,73 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,13.73,,,,,,,,,,,,,,,,,219,,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-05-250-273-13-30-4-02-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 30° 273×13 исп. 005 СТО 321.06,250,,273,13,,,4.02,30,375,19.7,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,005,,12Х1МФ ТУ 14-3Р-55,,,30°-273x13-R375-005,False,,005,,,,,,,,,,30°-273x13-R375-005,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 30°. DN 250. Наружный диаметр 273 мм. Толщина стенки 13 мм. Исполнение 005. PN 4.02 МПа. Температура 545°C. R 375 мм. l₂ 196 мм. b 101 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 19.7 кг.,"dn=250; outer_diameter=273; wall_thickness=13; pn=4.02; angle=30; radius=375; mass_kg=19.7; material=12Х1МФ ТУ 14-3Р-55; execution=005; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=30°-273x13-R375-005; inner_diameter=248; straight_length=50; straight_length_1=см. п. 4.2; arc_length=196; developed_b=101; wall_s1=9,5; wall_sk=9,9; temperature_c=545; pressure_group=p = 4,02 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,4.02,,,,,,,,,,,,,,,,,273,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-06-250-273-13-45-4-02-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 45° 273×13 исп. 006 СТО 321.06,250,,273,13,,,4.02,45,375,29.9,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,006,,12Х1МФ ТУ 14-3Р-55,,,45°-273x13-R375-006,False,,006,,,,,,,,,,45°-273x13-R375-006,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 45°. DN 250. Наружный диаметр 273 мм. Толщина стенки 13 мм. Исполнение 006. PN 4.02 МПа. Температура 545°C. R 375 мм. l₂ 295 мм. b 155 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 29.9 кг.,"dn=250; outer_diameter=273; wall_thickness=13; pn=4.02; angle=45; radius=375; mass_kg=29.9; material=12Х1МФ ТУ 14-3Р-55; execution=006; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=45°-273x13-R375-006; inner_diameter=248; straight_length=50; straight_length_1=см. п. 4.2; arc_length=295; developed_b=155; wall_s1=9,5; wall_sk=9,9; temperature_c=545; pressure_group=p = 4,02 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,4.02,,,,,,,,,,,,,,,,,273,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-07-250-273-13-60-4-02-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 60° 273×13 исп. 007 СТО 321.06,250,,273,13,,,4.02,60,375,40.0,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,007,,12Х1МФ ТУ 14-3Р-55,,,60°-273x13-R375-007,False,,007,,,,,,,,,,60°-273x13-R375-007,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 60°. DN 250. Наружный диаметр 273 мм. Толщина стенки 13 мм. Исполнение 007. PN 4.02 МПа. Температура 545°C. R 375 мм. l₂ 393 мм. b 216 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 40.0 кг.,"dn=250; outer_diameter=273; wall_thickness=13; pn=4.02; angle=60; radius=375; mass_kg=40.0; material=12Х1МФ ТУ 14-3Р-55; execution=007; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=60°-273x13-R375-007; inner_diameter=248; straight_length=50; straight_length_1=см. п. 4.2; arc_length=393; developed_b=216; wall_s1=9,5; wall_sk=9,9; temperature_c=545; pressure_group=p = 4,02 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,4.02,,,,,,,,,,,,,,,,,273,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-08-250-273-13-90-4-02-12x1мф-ту-14-3р-55,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 90° 273×13 исп. 008 СТО 321.06,250,,273,13,,,4.02,90,375,59.8,12Х1МФ ТУ 14-3Р-55,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,008,,12Х1МФ ТУ 14-3Р-55,,,90°-273x13-R375-008,False,,008,,,,,,,,,,90°-273x13-R375-008,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 90°. DN 250. Наружный диаметр 273 мм. Толщина стенки 13 мм. Исполнение 008. PN 4.02 МПа. Температура 545°C. R 375 мм. l₂ 589 мм. b 375 мм. Марка стали 12Х1МФ ТУ 14-3Р-55. Масса гнутой части 59.8 кг.,"dn=250; outer_diameter=273; wall_thickness=13; pn=4.02; angle=90; radius=375; mass_kg=59.8; material=12Х1МФ ТУ 14-3Р-55; execution=008; material_grade=12Х1МФ ТУ 14-3Р-55; gost_designation=90°-273x13-R375-008; inner_diameter=248; straight_length=50; straight_length_1=см. п. 4.2; arc_length=589; developed_b=375; wall_s1=9,5; wall_sk=9,9; temperature_c=545; pressure_group=p = 4,02 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,4.02,,,,,,,,,,,,,,,,,273,,,,,,59.8,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-09-350-377-18-30-4-02-12x1мф,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 30° 377×18 исп. 009 СТО 321.06,350,,377,18,,,4.02,30,525,52.5,12Х1МФ,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,009,,12Х1МФ,,,30°-377x18-R525-009,False,,009,,,,,,,,,,30°-377x18-R525-009,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 30°. DN 350. Наружный диаметр 377 мм. Толщина стенки 18 мм. Исполнение 009. PN 4.02 МПа. Температура 545°C. R 525 мм. l₂ 275 мм. b 141 мм. Марка стали 12Х1МФ. Масса гнутой части 52.5 кг.,"dn=350; outer_diameter=377; wall_thickness=18; pn=4.02; angle=30; radius=525; mass_kg=52.5; material=12Х1МФ; execution=009; material_grade=12Х1МФ; gost_designation=30°-377x18-R525-009; inner_diameter=343; straight_length=65; arc_length=275; developed_b=141; wall_s1=12,4; wall_sk=13,8; temperature_c=545; pressure_group=p = 4,02 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,4.02,,,,,,,,,,,,,,,,,377,,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
сто-321-06-10-350-377-18-45-4-02-12x1мф,СТО 321.06,СТО 321.06-2009,отводы,Отводы,ОК,Отвод 45° 377×18 исп. 010 СТО 321.06,350,,377,18,,,4.02,45,525,79.7,12Х1МФ,,pdf/отводы/СТО_ЦКТИ_321.06-2009.pdf,,,,,,010,,12Х1МФ,,,45°-377x18-R525-010,False,,010,,,,,,,,,,45°-377x18-R525-010,simple,,,,,onbackorder,no,Отвод по СТО 321.06-2009. Угол 45°. DN 350. Наружный диаметр 377 мм. Толщина стенки 18 мм. Исполнение 010. PN 4.02 МПа. Температура 545°C. R 525 мм. l₂ 412 мм. b 217 мм. Марка стали 12Х1МФ. Масса гнутой части 79.7 кг.,"dn=350; outer_diameter=377; wall_thickness=18; pn=4.02; angle=45; radius=525; mass_kg=79.7; material=12Х1МФ; execution=010; material_grade=12Х1МФ; gost_designation=45°-377x18-R525-010; inner_diameter=343; straight_length=65; arc_length=412; developed_b=217; wall_s1=12,4; wall_sk=13,8; temperature_c=545; pressure_group=p = 4,02 МПа, t = 545 °C; mass_method=табличная; data_source=html:321.06",,,,,,4.02,,,,,,,,,,,,,,,,,377,,,,,,79.7,,,,,,,,,,,,,,,,,,,,,,,,,html:321.06,,,,,,,,,,
