sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_bend_type,dim_radius_ratio,dim_connection,dim_construction,dim_radius_mm,dim_f_mm,dim_h_mm,dim_c_mm,dim_b_mm,dim_gost_designation,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,description,attributes,dim_w_mm,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_equal_pass,dim_length,dim_temperature,dim_height_mm,dim_cap_kind,dim_dimension_a,dim_flange_height_mm,dim_h1_mm,dim_surface_area_m2,dim_volume_dm3,dim_d_inner,dim_flange_thickness,dim_pn_mpa,dim_page,dim_bolt_circle_d,dim_stud_count,dim_outer_diameter,dim_h4,dim_bolt_d,dim_flange_type,dim_seal_face,dim_series,dim_mass_kg,dim_thread_size,dim_length_mm,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class,dim_straight_length,dim_angle_length,dim_bend_length_l,dim_temperature_c,dim_pressure_standard,dim_length_l,dim_sector_h,dim_semi_sector_h_22_30,dim_pn_non_aggressive,dim_pn_aggressive,dim_arc_length,dim_developed_length,dim_developed_b,dim_wall_s1,dim_wall_sk,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_inner_diameter,dim_straight_length_1,dim_height_h,dim_figure,dim_pipe_od,dim_pipe_wall,dim_dao,dim_wall_s2,dim_with_support,dim_support_d
ост-24-125-09-89-01-100x80,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 100×80 133×14-108×12 ОСТ 24.125.09-1989,100,80,133,14,108,12,,,,4.5,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,01,,,,,01 ОСТ 24.125.09-89,False,ост-24-125-09-89-01-100x80,01,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 100×80. Большой конец 133×14 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=100; dn_branch=80; outer_diameter=133; wall_thickness=14; outer_d_branch=108; wall_branch=12; execution=01; mass_kg=4.5; pressure=19.62; temperature_c=290,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-01-100x80-08х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 133×14-108×12 исп.01 08Х18Н10Т ОСТ 24.125.09-1989,100,80,133,14,108,12,,,,4.5,08Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,01,,08Х18Н10Т,,,01 ОСТ 24.125.09-89,False,ост-24-125-09-89-01-100x80,01,,,,,,,,,,,variation,ост-24-125-09-89-01-100x80,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 100×80. Большой конец 133×14 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=100; dn_branch=80; outer_diameter=133; wall_thickness=14; outer_d_branch=108; wall_branch=12; execution=01; mass_kg=4.5; pressure=19.62; temperature_c=290,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-01-100x80-12х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 133×14-108×12 исп.01 12Х18Н10Т ОСТ 24.125.09-1989,100,80,133,14,108,12,,,,4.5,12Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,01,,12Х18Н10Т,,,01 ОСТ 24.125.09-89,False,ост-24-125-09-89-01-100x80,01,,,,,,,,,,,variation,ост-24-125-09-89-01-100x80,12Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 100×80. Большой конец 133×14 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=100; dn_branch=80; outer_diameter=133; wall_thickness=14; outer_d_branch=108; wall_branch=12; execution=01; mass_kg=4.5; pressure=19.62; temperature_c=290,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-01-100x80-10х17н13м2т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 133×14-108×12 исп.01 10Х17Н13М2Т ОСТ 24.125.09-1989,100,80,133,14,108,12,,,,4.5,10Х17Н13М2Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,01,,10Х17Н13М2Т,,,01 ОСТ 24.125.09-89,False,ост-24-125-09-89-01-100x80,01,,,,,,,,,,,variation,ост-24-125-09-89-01-100x80,10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 100×80. Большой конец 133×14 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=100; dn_branch=80; outer_diameter=133; wall_thickness=14; outer_d_branch=108; wall_branch=12; execution=01; mass_kg=4.5; pressure=19.62; temperature_c=290,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-02-125x80,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 125×80 159×17-108×12 ОСТ 24.125.09-1989,125,80,159,17,108,12,,,,8.3,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,02,,,,,02 ОСТ 24.125.09-89,False,ост-24-125-09-89-02-125x80,02,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×80. Большой конец 159×17 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=80; outer_diameter=159; wall_thickness=17; outer_d_branch=108; wall_branch=12; execution=02; mass_kg=8.3; pressure=19.62; temperature_c=290,,,,125,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-02-125x80-08х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 159×17-108×12 исп.02 08Х18Н10Т ОСТ 24.125.09-1989,125,80,159,17,108,12,,,,8.3,08Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,02,,08Х18Н10Т,,,02 ОСТ 24.125.09-89,False,ост-24-125-09-89-02-125x80,02,,,,,,,,,,,variation,ост-24-125-09-89-02-125x80,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×80. Большой конец 159×17 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=80; outer_diameter=159; wall_thickness=17; outer_d_branch=108; wall_branch=12; execution=02; mass_kg=8.3; pressure=19.62; temperature_c=290,,,,125,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-02-125x80-12х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 159×17-108×12 исп.02 12Х18Н10Т ОСТ 24.125.09-1989,125,80,159,17,108,12,,,,8.3,12Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,02,,12Х18Н10Т,,,02 ОСТ 24.125.09-89,False,ост-24-125-09-89-02-125x80,02,,,,,,,,,,,variation,ост-24-125-09-89-02-125x80,12Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×80. Большой конец 159×17 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=80; outer_diameter=159; wall_thickness=17; outer_d_branch=108; wall_branch=12; execution=02; mass_kg=8.3; pressure=19.62; temperature_c=290,,,,125,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-02-125x80-10х17н13м2т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 159×17-108×12 исп.02 10Х17Н13М2Т ОСТ 24.125.09-1989,125,80,159,17,108,12,,,,8.3,10Х17Н13М2Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,02,,10Х17Н13М2Т,,,02 ОСТ 24.125.09-89,False,ост-24-125-09-89-02-125x80,02,,,,,,,,,,,variation,ост-24-125-09-89-02-125x80,10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×80. Большой конец 159×17 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=80; outer_diameter=159; wall_thickness=17; outer_d_branch=108; wall_branch=12; execution=02; mass_kg=8.3; pressure=19.62; temperature_c=290,,,,125,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-03-125x100,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 125×100 133×14 ОСТ 24.125.09-1989,125,100,133,14,,,,,,6.5,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,03,,,,,03 ОСТ 24.125.09-89,False,ост-24-125-09-89-03-125x100,03,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×100. Большой конец 133×14 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=100; outer_diameter=133; wall_thickness=14; outer_d_branch=; wall_branch=; execution=03; mass_kg=6.5; pressure=19.62; temperature_c=290,,,,125,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-03-125x100-08х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 133×14 исп.03 08Х18Н10Т ОСТ 24.125.09-1989,125,100,133,14,,,,,,6.5,08Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,03,,08Х18Н10Т,,,03 ОСТ 24.125.09-89,False,ост-24-125-09-89-03-125x100,03,,,,,,,,,,,variation,ост-24-125-09-89-03-125x100,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×100. Большой конец 133×14 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=100; outer_diameter=133; wall_thickness=14; outer_d_branch=; wall_branch=; execution=03; mass_kg=6.5; pressure=19.62; temperature_c=290,,,,125,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-03-125x100-12х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 133×14 исп.03 12Х18Н10Т ОСТ 24.125.09-1989,125,100,133,14,,,,,,6.5,12Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,03,,12Х18Н10Т,,,03 ОСТ 24.125.09-89,False,ост-24-125-09-89-03-125x100,03,,,,,,,,,,,variation,ост-24-125-09-89-03-125x100,12Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×100. Большой конец 133×14 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=100; outer_diameter=133; wall_thickness=14; outer_d_branch=; wall_branch=; execution=03; mass_kg=6.5; pressure=19.62; temperature_c=290,,,,125,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
