sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_straight_length,dim_straight_length_1,dim_arc_length,dim_developed_length,dim_developed_b,dim_height_h,dim_wall_s1,dim_wall_sk,dim_inner_diameter,dim_temperature_c,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_gost_designation,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,description,attributes
sto-321-05-048-150-219-40-45-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 45° 219х40 исп. 048 PN 25.01 12Х1МФ СТО 321.05-2009,150,,219,40,,,25.01,45,850,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,048,,12Х1МФ,,,45°-219х40-500х80х1248-R850-048,False,sto-321-05-048-150-219-40-45-2501,048,500,80,668,1248,352,,32.5,36.2,141,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Да,html:321.05,45°-219х40-500х80х1248-R850-048,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 45°. DN 150. Наружный диаметр 219 мм. Толщина стенки 40 мм. Исполнение 048. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. L1 80 мм развёртка 1248 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=150; outer_diameter=219; wall_thickness=40; pn=25.01; angle=45; radius=850; material=12Х1МФ; execution=048; material_grade=12Х1МФ; straight_length=500; straight_length_1=80; arc_length=668; developed_length=1248; developed_b=352; height_h=; wall_s1=32.5; wall_sk=36.2; inner_diameter=141; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Да; data_source=html:321.05; gost_designation=45°-219х40-500х80х1248-R850-048
sto-321-05-049-150-219-40-60-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 60° 219х40 исп. 049 PN 25.01 12Х1МФ СТО 321.05-2009,150,,219,40,,,25.01,60,850,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,049,,12Х1МФ,,,60°-219х40-500х80х1470-R850-049,False,sto-321-05-049-150-219-40-60-2501,049,500,80,890,1470,491,,32.5,36.2,141,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Да,html:321.05,60°-219х40-500х80х1470-R850-049,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 60°. DN 150. Наружный диаметр 219 мм. Толщина стенки 40 мм. Исполнение 049. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. L1 80 мм развёртка 1470 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=150; outer_diameter=219; wall_thickness=40; pn=25.01; angle=60; radius=850; material=12Х1МФ; execution=049; material_grade=12Х1МФ; straight_length=500; straight_length_1=80; arc_length=890; developed_length=1470; developed_b=491; height_h=; wall_s1=32.5; wall_sk=36.2; inner_diameter=141; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Да; data_source=html:321.05; gost_designation=60°-219х40-500х80х1470-R850-049
sto-321-05-050-150-219-40-90-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 90° 219х40 исп. 050 PN 25.01 12Х1МФ СТО 321.05-2009,150,,219,40,,,25.01,90,850,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,050,,12Х1МФ,,,90°-219х40-500х80х1915-R850-050,False,sto-321-05-050-150-219-40-90-2501,050,500,80,1335,1915,850,,32.5,36.2,141,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Да,html:321.05,90°-219х40-500х80х1915-R850-050,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 90°. DN 150. Наружный диаметр 219 мм. Толщина стенки 40 мм. Исполнение 050. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. L1 80 мм развёртка 1915 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=150; outer_diameter=219; wall_thickness=40; pn=25.01; angle=90; radius=850; material=12Х1МФ; execution=050; material_grade=12Х1МФ; straight_length=500; straight_length_1=80; arc_length=1335; developed_length=1915; developed_b=850; height_h=; wall_s1=32.5; wall_sk=36.2; inner_diameter=141; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Да; data_source=html:321.05; gost_designation=90°-219х40-500х80х1915-R850-050
sto-321-05-053-150-245-48-45-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 45° 245х48 исп. 053 PN 25.01 12Х1МФ СТО 321.05-2009,150,,245,48,,,25.01,45,1000,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,053,,12Х1МФ,,,45°-245х48-600хх785-R1000-053,False,sto-321-05-053-150-245-48-45-2501,053,600,,785,785,414,,38.8,42,151,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,45°-245х48-600хх785-R1000-053,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 45°. DN 150. Наружный диаметр 245 мм. Толщина стенки 48 мм. Исполнение 053. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. развёртка 785 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=150; outer_diameter=245; wall_thickness=48; pn=25.01; angle=45; radius=1000; material=12Х1МФ; execution=053; material_grade=12Х1МФ; straight_length=600; straight_length_1=; arc_length=785; developed_length=785; developed_b=414; height_h=; wall_s1=38.8; wall_sk=42; inner_diameter=151; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=45°-245х48-600хх785-R1000-053
sto-321-05-054-150-245-48-60-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 60° 245х48 исп. 054 PN 25.01 12Х1МФ СТО 321.05-2009,150,,245,48,,,25.01,60,1000,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,054,,12Х1МФ,,,60°-245х48-600хх1047-R1000-054,False,sto-321-05-054-150-245-48-60-2501,054,600,,1047,1047,577,,38.8,42,151,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,60°-245х48-600хх1047-R1000-054,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 60°. DN 150. Наружный диаметр 245 мм. Толщина стенки 48 мм. Исполнение 054. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. развёртка 1047 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=150; outer_diameter=245; wall_thickness=48; pn=25.01; angle=60; radius=1000; material=12Х1МФ; execution=054; material_grade=12Х1МФ; straight_length=600; straight_length_1=; arc_length=1047; developed_length=1047; developed_b=577; height_h=; wall_s1=38.8; wall_sk=42; inner_diameter=151; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=60°-245х48-600хх1047-R1000-054
sto-321-05-055-150-245-48-90-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 90° 245х48 исп. 055 PN 25.01 12Х1МФ СТО 321.05-2009,150,,245,48,,,25.01,90,1000,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,055,,12Х1МФ,,,90°-245х48-600хх1570-R1000-055,False,sto-321-05-055-150-245-48-90-2501,055,600,,1570,1570,1000,,38.8,42,151,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,90°-245х48-600хх1570-R1000-055,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 90°. DN 150. Наружный диаметр 245 мм. Толщина стенки 48 мм. Исполнение 055. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. развёртка 1570 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=150; outer_diameter=245; wall_thickness=48; pn=25.01; angle=90; radius=1000; material=12Х1МФ; execution=055; material_grade=12Х1МФ; straight_length=600; straight_length_1=; arc_length=1570; developed_length=1570; developed_b=1000; height_h=; wall_s1=38.8; wall_sk=42; inner_diameter=151; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=90°-245х48-600хх1570-R1000-055
sto-321-05-058-175-273-50-45-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 45° 273х50 исп. 058 PN 25.01 12Х1МФ СТО 321.05-2009,175,,273,50,,,25.01,45,1370,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,058,,12Х1МФ,,,45°-273х50-650хх1076-R1370-058,False,sto-321-05-058-175-273-50-45-2501,058,650,,1076,1076,568,,41.5,46,175,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,45°-273х50-650хх1076-R1370-058,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 45°. DN 175. Наружный диаметр 273 мм. Толщина стенки 50 мм. Исполнение 058. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. развёртка 1076 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=175; outer_diameter=273; wall_thickness=50; pn=25.01; angle=45; radius=1370; material=12Х1МФ; execution=058; material_grade=12Х1МФ; straight_length=650; straight_length_1=; arc_length=1076; developed_length=1076; developed_b=568; height_h=; wall_s1=41.5; wall_sk=46; inner_diameter=175; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=45°-273х50-650хх1076-R1370-058
sto-321-05-059-175-273-50-60-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 60° 273х50 исп. 059 PN 25.01 12Х1МФ СТО 321.05-2009,175,,273,50,,,25.01,60,1370,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,059,,12Х1МФ,,,60°-273х50-650хх1435-R1370-059,False,sto-321-05-059-175-273-50-60-2501,059,650,,1435,1435,791,,41.5,46,175,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,60°-273х50-650хх1435-R1370-059,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 60°. DN 175. Наружный диаметр 273 мм. Толщина стенки 50 мм. Исполнение 059. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. развёртка 1435 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=175; outer_diameter=273; wall_thickness=50; pn=25.01; angle=60; radius=1370; material=12Х1МФ; execution=059; material_grade=12Х1МФ; straight_length=650; straight_length_1=; arc_length=1435; developed_length=1435; developed_b=791; height_h=; wall_s1=41.5; wall_sk=46; inner_diameter=175; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=60°-273х50-650хх1435-R1370-059
sto-321-05-060-175-273-50-90-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 90° 273х50 исп. 060 PN 25.01 12Х1МФ СТО 321.05-2009,175,,273,50,,,25.01,90,1370,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,060,,12Х1МФ,,,90°-273х50-650хх2152-R1370-060,False,sto-321-05-060-175-273-50-90-2501,060,650,,2152,2152,1370,,41.5,46,175,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,90°-273х50-650хх2152-R1370-060,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 90°. DN 175. Наружный диаметр 273 мм. Толщина стенки 50 мм. Исполнение 060. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. развёртка 2152 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=175; outer_diameter=273; wall_thickness=50; pn=25.01; angle=90; radius=1370; material=12Х1МФ; execution=060; material_grade=12Х1МФ; straight_length=650; straight_length_1=; arc_length=2152; developed_length=2152; developed_b=1370; height_h=; wall_s1=41.5; wall_sk=46; inner_diameter=175; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=90°-273х50-650хх2152-R1370-060
sto-321-05-068-225-377-70-45-2501-12х1мф,sto-321-05,СТО 321.05-2009,отводы,Отводы,ОГ,Отвод гнутый 45° 377х70 исп. 068 PN 25.01 12Х1МФ СТО 321.05-2009,225,,377,70,,,25.01,45,1500,,12Х1МФ,1,pdf/отводы/СТО_ЦКТИ_321.01-2009.pdf,,,,,,068,,12Х1МФ,,,45°-377х70-1000х800х2978-R1500-068,False,sto-321-05-068-225-377-70-45-2501,068,1000,800,1178,2978,621,110,59,63,240,545,25.01 МПа при 545°C,расчётная по формуле 5.2,Нет,html:321.05,45°-377х70-1000х800х2978-R1500-068,simple,,12Х1МФ,Нет,,onbackorder,no,Отвод по СТО 321.05-2009. Угол 45°. DN 225. Наружный диаметр 377 мм. Толщина стенки 70 мм. Исполнение 068. PN 25.01 МПа. Температура 545°C. 25.01 МПа при 545°C. L1 800 мм развёртка 2978 мм. Марка стали 12Х1МФ. Масса расчётная.,dn=225; outer_diameter=377; wall_thickness=70; pn=25.01; angle=45; radius=1500; material=12Х1МФ; execution=068; material_grade=12Х1МФ; straight_length=1000; straight_length_1=800; arc_length=1178; developed_length=2978; developed_b=621; height_h=110; wall_s1=59; wall_sk=63; inner_diameter=240; temperature_c=545; pressure_group=25.01 МПа при 545°C; mass_method=расчётная по формуле 5.2; optional_execution=Нет; data_source=html:321.05; gost_designation=45°-377х70-1000х800х2978-R1500-068
