sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_gost_designation,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,description,attributes
sto-95-119-2-500-530-8--273-1,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 СТО 95.119-2013,500,250,530,8,273,8,,,,,,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variable,,08Х18Н10Т|09Г2С|10|10Г2|10Г2С1|10Х17Н13М2Т|12Х18Н10Т|13ХФА|17Г1С|17Г1С-У|17ГС|20,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 08Х18Н10Т. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=08Х18Н10Т; execution=2; material_grade=08Х18Н10Т; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-08х18н10т,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 08Х18Н10Т СТО 95.119-2013,500,250,530,8,273,8,,,,,08Х18Н10Т,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,08Х18Н10Т,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 08Х18Н10Т. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=08Х18Н10Т; execution=2; material_grade=08Х18Н10Т; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-09г2с,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 09Г2С СТО 95.119-2013,500,250,530,8,273,8,,,,,09Г2С,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,09Г2С,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,09Г2С,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 09Г2С. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=09Г2С; execution=2; material_grade=09Г2С; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-10,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 Ст10 СТО 95.119-2013,500,250,530,8,273,8,,,,,10,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,10,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,10,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 10. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=10; execution=2; material_grade=10; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-10г2,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 10Г2 СТО 95.119-2013,500,250,530,8,273,8,,,,,10Г2,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,10Г2,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,10Г2,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 10Г2. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=10Г2; execution=2; material_grade=10Г2; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-10г2с1,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 10Г2С1 СТО 95.119-2013,500,250,530,8,273,8,,,,,10Г2С1,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,10Г2С1,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,10Г2С1,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 10Г2С1. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=10Г2С1; execution=2; material_grade=10Г2С1; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-10х17н13м2т,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 10Х17Н13М2Т СТО 95.119-2013,500,250,530,8,273,8,,,,,10Х17Н13М2Т,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,10Х17Н13М2Т,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 10Х17Н13М2Т. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=10Х17Н13М2Т; execution=2; material_grade=10Х17Н13М2Т; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-12х18н10т,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 12Х18Н10Т СТО 95.119-2013,500,250,530,8,273,8,,,,,12Х18Н10Т,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,12Х18Н10Т,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,12Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 12Х18Н10Т. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=12Х18Н10Т; execution=2; material_grade=12Х18Н10Т; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-13хфа,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 13ХФА СТО 95.119-2013,500,250,530,8,273,8,,,,,13ХФА,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,13ХФА,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,13ХФА,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 13ХФА. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=13ХФА; execution=2; material_grade=13ХФА; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-17г1с,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 17Г1С СТО 95.119-2013,500,250,530,8,273,8,,,,,17Г1С,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,17Г1С,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,17Г1С,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 17Г1С. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=17Г1С; execution=2; material_grade=17Г1С; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
sto-95-119-2-500-530-8--273-1-17г1с-у,sto-95-119,СТО 95.119-2013,переходы,Переходы,ПС,Переход 500х250 исп. 02 17Г1С-У СТО 95.119-2013,500,250,530,8,273,8,,,,,17Г1С-У,1,pdf/переходы/СТО_95_119_2013.pdf,,,,,,2,,17Г1С-У,,,Э-530х8-273х8,False,sto-95-119-2-500-530-8--273-1,2,273,8,Э-530х8-273х8,variation,sto-95-119-2-500-530-8--273-1,17Г1С-У,Нет,,onbackorder,no,Переход концентрический по СТО 95.119-2013. Тип: ПС. DN 500. DN1 250. Исполнение 02. Размеры 530х8-273х8 мм. Марка стали 17Г1С-У. Условное обозначение: Э-530х8-273х8.,dn=500; dn_branch=250; outer_diameter=530; wall_thickness=8; material=17Г1С-У; execution=2; material_grade=17Г1С-У; outer_d_branch=273; wall_branch=8; gost_designation=Э-530х8-273х8
