sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_gost_designation,description,attributes,dim_outer_d_branch,dim_wall_branch,equal_pass,dim_equal_pass,woo_type
sto-95-127-10-20-25-2---1-08х18н10т,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 08Х18Н10Т СТО 95.127-2013,20,20,25,2,25,2,,,,,08Х18Н10Т,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,08Х18Н10Т,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 08Х18Н10Т. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=08Х18Н10Т; execution=10; material_grade=08Х18Н10Т; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-09г2с,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 09Г2С СТО 95.127-2013,20,20,25,2,25,2,,,,,09Г2С,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,09Г2С,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 09Г2С. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=09Г2С; execution=10; material_grade=09Г2С; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-09г2сP,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник П 25х2 09Г2С СТО 95.127-2013,20,20,25,2,,,,,,,09Г2С,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,09Г2С,,,25х2,True,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 09Г2С. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=09Г2С; execution=10; material_grade=09Г2С; gost_designation=25х2; supervised=Да,,,,,simple
sto-95-127-10-20-25-2---1-10,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 Ст10 СТО 95.127-2013,20,20,25,2,25,2,,,,,10,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,10,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 10. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=10; execution=10; material_grade=10; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-10г2,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 10Г2 СТО 95.127-2013,20,20,25,2,25,2,,,,,10Г2,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,10Г2,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 10Г2. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=10Г2; execution=10; material_grade=10Г2; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-10г2с1,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 10Г2С1 СТО 95.127-2013,20,20,25,2,25,2,,,,,10Г2С1,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,10Г2С1,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 10Г2С1. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=10Г2С1; execution=10; material_grade=10Г2С1; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-10х17н13м2т,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 10Х17Н13М2Т СТО 95.127-2013,20,20,25,2,25,2,,,,,10Х17Н13М2Т,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,10Х17Н13М2Т,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 10Х17Н13М2Т. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=10Х17Н13М2Т; execution=10; material_grade=10Х17Н13М2Т; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-12х18н10т,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 12Х18Н10Т СТО 95.127-2013,20,20,25,2,25,2,,,,,12Х18Н10Т,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,12Х18Н10Т,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 12Х18Н10Т. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=12Х18Н10Т; execution=10; material_grade=12Х18Н10Т; gost_designation=25х2,25,2,да,да,simple
sto-95-127-10-20-25-2---1-12х18н10тP,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник П 25х2 12Х18Н10Т СТО 95.127-2013,20,20,25,2,,,,,,,12Х18Н10Т,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,12Х18Н10Т,,,25х2,True,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 12Х18Н10Т. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=12Х18Н10Т; execution=10; material_grade=12Х18Н10Т; gost_designation=25х2; supervised=Да,,,,,simple
sto-95-127-10-20-25-2---1-13хфа,sto-95-127,СТО 95.127-2013,тройники,Тройники,ТС,Тройник 25х2 13ХФА СТО 95.127-2013,20,20,25,2,25,2,,,,,13ХФА,1,pdf/тройники/СТО_95_127_2013.pdf,,,,,,10,,13ХФА,,,25х2,False,sto-95-127-10-20-25-2---1,10,25х2,Тройник равнопроходный по СТО 95.127-2013. Тип: ТС. DN 20. Размеры 25х2 мм. Исполнение 10. Марка стали 13ХФА. Условное обозначение: 25х2.,dn=20; outer_diameter=25; wall_thickness=2; material=13ХФА; execution=10; material_grade=13ХФА; gost_designation=25х2,25,2,да,да,simple
