sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_thread_size,dim_length_mm,description,attributes,dim_strength_class,woo_type
11738-В-3-6-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×6 8.8 ГОСТ 11738-84,3,,,,,,,,,,,,,3,6,,8.8,A,,,,,,,False,11738-В-3-6-8.8,3,6,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 6 мм, класс прочности 8.8.",thread_size=3; length_mm=6; strength_class=8.8,8.8,simple
11738-В-3-6-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×6 10.9 ГОСТ 11738-84,3,,,,,,,,,,,,,3,6,,10.9,A,,,,,,,False,11738-В-3-6-10.9,3,6,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 6 мм, класс прочности 10.9.",thread_size=3; length_mm=6; strength_class=10.9,10.9,simple
11738-В-3-8-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×8 8.8 ГОСТ 11738-84,3,,,,,,,,,,,,,3,8,,8.8,A,,,,,,,False,11738-В-3-8-8.8,3,8,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 8 мм, класс прочности 8.8.",thread_size=3; length_mm=8; strength_class=8.8,8.8,simple
11738-В-3-8-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×8 10.9 ГОСТ 11738-84,3,,,,,,,,,,,,,3,8,,10.9,A,,,,,,,False,11738-В-3-8-10.9,3,8,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 8 мм, класс прочности 10.9.",thread_size=3; length_mm=8; strength_class=10.9,10.9,simple
11738-В-3-10-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×10 8.8 ГОСТ 11738-84,3,,,,,,,,,,,,,3,10,,8.8,A,,,,,,,False,11738-В-3-10-8.8,3,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 10 мм, класс прочности 8.8.",thread_size=3; length_mm=10; strength_class=8.8,8.8,simple
11738-В-3-10-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×10 10.9 ГОСТ 11738-84,3,,,,,,,,,,,,,3,10,,10.9,A,,,,,,,False,11738-В-3-10-10.9,3,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 10 мм, класс прочности 10.9.",thread_size=3; length_mm=10; strength_class=10.9,10.9,simple
11738-В-3-12-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×12 8.8 ГОСТ 11738-84,3,,,,,,,,,,,,,3,12,,8.8,A,,,,,,,False,11738-В-3-12-8.8,3,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 12 мм, класс прочности 8.8.",thread_size=3; length_mm=12; strength_class=8.8,8.8,simple
11738-В-3-12-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×12 10.9 ГОСТ 11738-84,3,,,,,,,,,,,,,3,12,,10.9,A,,,,,,,False,11738-В-3-12-10.9,3,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 12 мм, класс прочности 10.9.",thread_size=3; length_mm=12; strength_class=10.9,10.9,simple
11738-В-3-16-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×16 8.8 ГОСТ 11738-84,3,,,,,,,,,,,,,3,16,,8.8,A,,,,,,,False,11738-В-3-16-8.8,3,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 16 мм, класс прочности 8.8.",thread_size=3; length_mm=16; strength_class=8.8,8.8,simple
11738-В-3-16-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×16 10.9 ГОСТ 11738-84,3,,,,,,,,,,,,,3,16,,10.9,A,,,,,,,False,11738-В-3-16-10.9,3,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 16 мм, класс прочности 10.9.",thread_size=3; length_mm=16; strength_class=10.9,10.9,simple
