sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,pn,angle,radius,mass_kg,material,standard_page,pdf_path,description,attributes,dim_dim_0,dim_dim_1,dim_dim_2,dim_dim_7,dim_dim_8,dim_dim_9,dim_dim_10,dim_dim_5,dim_dim_13,dim_dim_14,dim_dim_15,dim_dim_16,dim_dim_17,dim_dim_18,dim_dim_т,dim_dim_в,dim_dim_3,dim_dim_w,dim_dim_н,dim_dim_с
гост-15150-ар-________________-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN ________________ (ГОСТ 15150),________________,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN ________________.,dn=________________,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-изменениемn5предлагаетсявинформационныхданныхисключитьслова3-none-,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN *ИзменениемN5предлагаетсявИнформационныхданныхисключитьслова:""3. (ГОСТ 15150)","*ИзменениемN5предлагаетсявИнформационныхданныхисключитьслова:""3.",,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN *ИзменениемN5предлагаетсявИнформационныхданныхисключитьслова:""3..","dn=*ИзменениемN5предлагаетсявИнформационныхданныхисключитьслова:""3.",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-стандартсоответствуетстсэв6136-87вчастиклассификацииклиматаи-none-,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN СтандартсоответствуетСТСЭВ6136-87вчастиклассификацииклиматаи (ГОСТ 15150),СтандартсоответствуетСТСЭВ6136-87вчастиклассификацииклиматаи,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN СтандартсоответствуетСТСЭВ6136-87вчастиклассификацииклиматаи.,dn=СтандартсоответствуетСТСЭВ6136-87вчастиклассификацииклиматаи,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-макроклиматическогорайонированияземногошарастсэв460-77стсэв991-78-,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN макроклиматическогорайонированияземногошара,СТСЭВ460-77,СТСЭВ991-78""; (ГОСТ 15150)","макроклиматическогорайонированияземногошара,СТСЭВ460-77,СТСЭВ991-78"";",,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN макроклиматическогорайонированияземногошара,СТСЭВ460-77,СТСЭВ991-78"";.","dn=макроклиматическогорайонированияземногошара,СТСЭВ460-77,СТСЭВ991-78"";",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-мэк721-2-11982классификациявнешнихусловийчасть2природныевнешние-no,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN МЭК721-2-1:1982Классификациявнешнихусловий.Часть2.Природныевнешние (ГОСТ 15150),МЭК721-2-1:1982Классификациявнешнихусловий.Часть2.Природныевнешние,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN МЭК721-2-1:1982Классификациявнешнихусловий.Часть2.Природныевнешние.,dn=МЭК721-2-1:1982Классификациявнешнихусловий.Часть2.Природныевнешние,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-условиятемператураивлажность-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN условия.Температураивлажность. (ГОСТ 15150),условия.Температураивлажность.,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN условия.Температураивлажность..,dn=условия.Температураивлажность.,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-мэк68-11988испытаниянавнешниевоздействияобщиеположенияируководство,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN МЭК68-1:1988Испытаниянавнешниевоздействия.Общиеположенияируководствов (ГОСТ 15150),МЭК68-1:1988Испытаниянавнешниевоздействия.Общиеположенияируководствов,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN МЭК68-1:1988Испытаниянавнешниевоздействия.Общиеположенияируководствов.,dn=МЭК68-1:1988Испытаниянавнешниевоздействия.Общиеположенияируководствов,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-частинормальныхусловийиспытаний-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN частинормальныхусловийиспытаний. (ГОСТ 15150),частинормальныхусловийиспытаний.,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN частинормальныхусловийиспытаний..,dn=частинормальныхусловийиспытаний.,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-данныеосоответствиинастоящегостандартамеждународнымстандартамуказа,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN Данныеосоответствиинастоящегостандартамеждународнымстандартамуказаны (ГОСТ 15150),Данныеосоответствиинастоящегостандартамеждународнымстандартамуказаны,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN Данныеосоответствиинастоящегостандартамеждународнымстандартамуказаны.,dn=Данныеосоответствиинастоящегостандартамеждународнымстандартамуказаны,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-вприложении12-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN вприложении12. (ГОСТ 15150),вприложении12.,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN вприложении12..,dn=вприложении12.,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-4введенвпервые-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 4.ВВЕДЕНВПЕРВЫЕ (ГОСТ 15150),4.ВВЕДЕНВПЕРВЫЕ,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 4.ВВЕДЕНВПЕРВЫЕ.,dn=4.ВВЕДЕНВПЕРВЫЕ,,,,,,,,,,,,,,,,,,,,
