sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,description,attributes,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_technology,dim_seam_type,dim_purpose,dim_shell,dim_source_subcategory,dim_gost_designation,dim_mass_method
zadvizhka-klin-dn50-pn16,ГОСТ 33257-2015,Задвижка клиновая DN50 PN1.6 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN50 PN1.6 МПа,50,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn80-pn16,ГОСТ 33257-2015,Задвижка клиновая DN80 PN1.6 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN80 PN1.6 МПа,80,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn100-pn16,ГОСТ 33257-2015,Задвижка клиновая DN100 PN1.6 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN100 PN1.6 МПа,100,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn150-pn16,ГОСТ 33257-2015,Задвижка клиновая DN150 PN1.6 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN150 PN1.6 МПа,150,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn200-pn16,ГОСТ 33257-2015,Задвижка клиновая DN200 PN1.6 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN200 PN1.6 МПа,200,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn250-pn25,ГОСТ 33257-2015,Задвижка клиновая DN250 PN2.5 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN250 PN2.5 МПа,250,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn300-pn25,ГОСТ 33257-2015,Задвижка клиновая DN300 PN2.5 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN300 PN2.5 МПа,300,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn400-pn25,ГОСТ 33257-2015,Задвижка клиновая DN400 PN2.5 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN400 PN2.5 МПа,400,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn500-pn40,ГОСТ 33257-2015,Задвижка клиновая DN500 PN4.0 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN500 PN4.0 МПа,500,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn600-pn40,ГОСТ 33257-2015,Задвижка клиновая DN600 PN4.0 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN600 PN4.0 МПа,600,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
