sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_thread_size,dim_length_mm,description,attributes,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class
10494-ШП-14-60-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х60 Ст20 ГОСТ 10494-80,14,,14,60,,,,,,0.073,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,60,,,,,,20,,,,False,10494-ШП-14-60-20,14,60,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 60 мм. Марка стали 20. Масса 0.073 кг.,dn=14; outer_diameter=14; wall_thickness=60; mass_kg=0.073; material=20; thread_size=14; length_mm=60; material_grade=20; thread_size=14; length_mm=60,,,,
10494-ШП-14-65-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х65 Ст20 ГОСТ 10494-80,14,,14,65,,,,,,0.079,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,65,,,,,,20,,,,False,10494-ШП-14-65-20,14,65,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 65 мм. Марка стали 20. Масса 0.079 кг.,dn=14; outer_diameter=14; wall_thickness=65; mass_kg=0.079; material=20; thread_size=14; length_mm=65; material_grade=20; thread_size=14; length_mm=65,,,,
10494-ШП-14-70-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х70 Ст20 ГОСТ 10494-80,14,,14,70,,,,,,0.085,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,70,,,,,,20,,,,False,10494-ШП-14-70-20,14,70,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 70 мм. Марка стали 20. Масса 0.085 кг.,dn=14; outer_diameter=14; wall_thickness=70; mass_kg=0.085; material=20; thread_size=14; length_mm=70; material_grade=20; thread_size=14; length_mm=70,,,,
10494-ШП-14-75-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х75 Ст20 ГОСТ 10494-80,14,,14,75,,,,,,0.091,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,75,,,,,,20,,,,False,10494-ШП-14-75-20,14,75,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 75 мм. Марка стали 20. Масса 0.091 кг.,dn=14; outer_diameter=14; wall_thickness=75; mass_kg=0.091; material=20; thread_size=14; length_mm=75; material_grade=20; thread_size=14; length_mm=75,,,,
10494-ШП-14-80-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х80 Ст20 ГОСТ 10494-80,14,,14,80,,,,,,0.097,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,80,,,,,,20,,,,False,10494-ШП-14-80-20,14,80,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 80 мм. Марка стали 20. Масса 0.097 кг.,dn=14; outer_diameter=14; wall_thickness=80; mass_kg=0.097; material=20; thread_size=14; length_mm=80; material_grade=20; thread_size=14; length_mm=80,,,,
10494-ШП-14-85-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х85 Ст20 ГОСТ 10494-80,14,,14,85,,,,,,0.103,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,85,,,,,,20,,,,False,10494-ШП-14-85-20,14,85,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 85 мм. Марка стали 20. Масса 0.103 кг.,dn=14; outer_diameter=14; wall_thickness=85; mass_kg=0.103; material=20; thread_size=14; length_mm=85; material_grade=20; thread_size=14; length_mm=85,,,,
10494-ШП-14-90-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х90 Ст20 ГОСТ 10494-80,14,,14,90,,,,,,0.109,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,90,,,,,,20,,,,False,10494-ШП-14-90-20,14,90,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 90 мм. Марка стали 20. Масса 0.109 кг.,dn=14; outer_diameter=14; wall_thickness=90; mass_kg=0.109; material=20; thread_size=14; length_mm=90; material_grade=20; thread_size=14; length_mm=90,,,,
10494-ШП-14-95-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х95 Ст20 ГОСТ 10494-80,14,,14,95,,,,,,0.115,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,95,,,,,,20,,,,False,10494-ШП-14-95-20,14,95,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 95 мм. Марка стали 20. Масса 0.115 кг.,dn=14; outer_diameter=14; wall_thickness=95; mass_kg=0.115; material=20; thread_size=14; length_mm=95; material_grade=20; thread_size=14; length_mm=95,,,,
10494-ШП-14-100-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х100 Ст20 ГОСТ 10494-80,14,,14,100,,,,,,0.121,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,100,,,,,,20,,,,False,10494-ШП-14-100-20,14,100,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 100 мм. Марка стали 20. Масса 0.121 кг.,dn=14; outer_diameter=14; wall_thickness=100; mass_kg=0.121; material=20; thread_size=14; length_mm=100; material_grade=20; thread_size=14; length_mm=100,,,,
10494-ШП-14-105-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х105 Ст20 ГОСТ 10494-80,14,,14,105,,,,,,0.127,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,105,,,,,,20,,,,False,10494-ШП-14-105-20,14,105,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 105 мм. Марка стали 20. Масса 0.127 кг.,dn=14; outer_diameter=14; wall_thickness=105; mass_kg=0.127; material=20; thread_size=14; length_mm=105; material_grade=20; thread_size=14; length_mm=105,,,,
10494-ШП-14-110-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х110 Ст20 ГОСТ 10494-80,14,,14,110,,,,,,0.133,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,110,,,,,,20,,,,False,10494-ШП-14-110-20,14,110,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 110 мм. Марка стали 20. Масса 0.133 кг.,dn=14; outer_diameter=14; wall_thickness=110; mass_kg=0.133; material=20; thread_size=14; length_mm=110; material_grade=20; thread_size=14; length_mm=110,,,,
