sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,description,attributes,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_technology,dim_seam_type,dim_purpose,dim_shell,dim_source_subcategory,dim_gost_designation,dim_mass_method
ost-36-17-np-dn50,ОСТ 36-17-85,Опора неподвижная хомутовая DN50 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN50 ОСТ 36-17-85,50,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn80,ОСТ 36-17-85,Опора неподвижная хомутовая DN80 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN80 ОСТ 36-17-85,80,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn100,ОСТ 36-17-85,Опора неподвижная хомутовая DN100 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN100 ОСТ 36-17-85,100,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn150,ОСТ 36-17-85,Опора неподвижная хомутовая DN150 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN150 ОСТ 36-17-85,150,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn200,ОСТ 36-17-85,Опора неподвижная хомутовая DN200 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN200 ОСТ 36-17-85,200,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn250,ОСТ 36-17-85,Опора неподвижная хомутовая DN250 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN250 ОСТ 36-17-85,250,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn300,ОСТ 36-17-85,Опора неподвижная хомутовая DN300 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN300 ОСТ 36-17-85,300,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn400,ОСТ 36-17-85,Опора неподвижная хомутовая DN400 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN400 ОСТ 36-17-85,400,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn500,ОСТ 36-17-85,Опора неподвижная хомутовая DN500 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN500 ОСТ 36-17-85,500,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn600,ОСТ 36-17-85,Опора неподвижная хомутовая DN600 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN600 ОСТ 36-17-85,600,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
