sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_wall_branch,dim_gost_designation,description,attributes,dim_outer_d_branch,dim_dy,dim_dy1,dim_pn,dim_equal_pass
гост-17376-2001-1-15-213-2---4-09г2с,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник 21.3х2 09Г2С ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,09Г2С,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,09Г2С,,,1-21.3х2,False,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 09Г2С. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=09Г2С; execution=1; material_grade=09Г2С; wall_branch=2; gost_designation=1-21.3х2,,,,,
гост-17376-2001-1-15-213-2---4-09г2сP,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник П 21.3х2 09Г2С ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,09Г2С,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,09Г2С,,,1-21.3х2,True,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 09Г2С. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=09Г2С; execution=1; material_grade=09Г2С; wall_branch=2; gost_designation=1-21.3х2; supervised=Да,,,,,
гост-17376-2001-1-15-213-2---4-12х18н10т,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник 21.3х2 12Х18Н10Т ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,12Х18Н10Т,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,12Х18Н10Т,,,1-21.3х2,False,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 12Х18Н10Т. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; wall_branch=2; gost_designation=1-21.3х2,,,,,
гост-17376-2001-1-15-213-2---4-12х18н10тP,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник П 21.3х2 12Х18Н10Т ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,12Х18Н10Т,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,12Х18Н10Т,,,1-21.3х2,True,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 12Х18Н10Т. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; wall_branch=2; gost_designation=1-21.3х2; supervised=Да,,,,,
гост-17376-2001-1-15-213-2---4-20,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник 21.3х2 Ст20 ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,20,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,20,,,1-21.3х2,False,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 20. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=20; execution=1; material_grade=20; wall_branch=2; gost_designation=1-21.3х2,,,,,
гост-17376-2001-1-15-213-2---4-13хфа,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник 21.3х2 13ХФА ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,13ХФА,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,13ХФА,,,1-21.3х2,False,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 13ХФА. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=13ХФА; execution=1; material_grade=13ХФА; wall_branch=2; gost_designation=1-21.3х2,,,,,
гост-17376-2001-1-15-213-2---4-17г1с,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник 21.3х2 17Г1С ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,17Г1С,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,17Г1С,,,1-21.3х2,False,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 17Г1С. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=17Г1С; execution=1; material_grade=17Г1С; wall_branch=2; gost_designation=1-21.3х2,,,,,
гост-17376-2001-1-15-213-2---4-17г1сP,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник П 21.3х2 17Г1С ГОСТ 17376-2001,15,15,21.3,2,,2,,,,0.19,17Г1С,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,17Г1С,,,1-21.3х2,True,гост-17376-2001-1-15-213-2---4,1,2,1-21.3х2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х2 мм. Исполнение 1. Марка стали 17Г1С. Масса 0.19 кг. Условное обозначение: 1-21.3х2.,dn=15; outer_diameter=21.3; wall_thickness=2; mass_kg=0.19; material=17Г1С; execution=1; material_grade=17Г1С; wall_branch=2; gost_designation=1-21.3х2; supervised=Да,,,,,
гост-17376-2001-1-15-213-32---4-09г2с,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник 21.3х3.2 09Г2С ГОСТ 17376-2001,15,15,21.3,3.2,,3.2,,,,0.3,09Г2С,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,09Г2С,,,1-21.3х3.2,False,гост-17376-2001-1-15-213-32---4,1,3.2,1-21.3х3.2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х3.2 мм. Исполнение 1. Марка стали 09Г2С. Масса 0.3 кг. Условное обозначение: 1-21.3х3.2.,dn=15; outer_diameter=21.3; wall_thickness=3.2; mass_kg=0.3; material=09Г2С; execution=1; material_grade=09Г2С; wall_branch=3.2; gost_designation=1-21.3х3.2,,,,,
гост-17376-2001-1-15-213-32---4-09г2сP,ГОСТ 17376-2001,ГОСТ 17376-2001,тройники,Тройники,ТР,Тройник П 21.3х3.2 09Г2С ГОСТ 17376-2001,15,15,21.3,3.2,,3.2,,,,0.3,09Г2С,4,pdf/отводы/ГОСТ_17376_2001.pdf,,,,,,1,,09Г2С,,,1-21.3х3.2,True,гост-17376-2001-1-15-213-32---4,1,3.2,1-21.3х3.2,Тройник равнопроходный по ГОСТ 17376-2001. Тип: ТР. DN 15. Размеры 21.3х3.2 мм. Исполнение 1. Марка стали 09Г2С. Масса 0.3 кг. Условное обозначение: 1-21.3х3.2.,dn=15; outer_diameter=21.3; wall_thickness=3.2; mass_kg=0.3; material=09Г2С; execution=1; material_grade=09Г2С; wall_branch=3.2; gost_designation=1-21.3х3.2; supervised=Да,,,,,
