схема	категория	семейство	тип	норматив	позиций	пример
bend	otvody	Отводы	ОК	gost-17375-2001	1025	Отвод 45° 21,3х2 исп. 1 ГОСТ 17375-2001
bolt	bolty	Болт с уменьшенной головкой		ГОСТ 7805-1970	968	Болт M1.6х10 10.9 ГОСТ 7805-70
bolt	bolty	Болт фундаментный		ГОСТ 22043-1976	794	Болт M2.5х10 5.8 ГОСТ 22043-76
bolt	bolty	Болт фундаментный		ГОСТ 22032-1976	767	Болт M2.5х10 10.9 ГОСТ 22032-76
stud	shpilki	Шпилька для фланцевых соединений		ГОСТ 9066-1975	662	Шпилька M10х45 ГОСТ 9066-75
bend	otvody	Отводы	ОК	gost-30753-2001	616	Отвод 45° 60,3х4 исп. 1 ГОСТ 30753-2001
pipe	truby-bsh	Трубы		ГОСТ 8732-1978	595	Труба б/ш 102х10 ГОСТ 8732-1978
bolt	bolty	Болт с шестигранной головкой		ГОСТ 7795-1970	540	Болт M6х28 10.9 ГОСТ 7795-70
pipe	truby-es	Трубы		ГОСТ 10704-1991	522	Труба э/с 108х4 ГОСТ 10704-1991
bolt	bolty	Болт с шестигранной головкой		ГОСТ 7798-1970	504	Болт M6х8 10.9 ГОСТ 7798-70
bend	otvody	Отводы	ОГ	СТО 321.05-2009	495	Отвод гнутый 45° 219х40 исп. 048 PN 25.01 12Х1МФ СТО 321.05-2009
bolt	bolty	Болт с шестигранной головкой		ГОСТ 7796-1970	452	Болт M10х8 10.9 ГОСТ 7796-70
bolt	bolty	Болт с уменьшенной головкой		ГОСТ 7808-1970	452	Болт M10х8 10.9 ГОСТ 7808-70
pipe	izolyatsiya-truby	Трубы		ГОСТ 30732-2020	441	Труба ППУ 219х12 ГОСТ 30732-2020
stud	shpilki	Шпилька ОСТ		ОСТ 26-2040-96	398	Шпилька M10х80 ОСТ 26-2040-96
stud	shpilki	Шпилька		ГОСТ 15590-1970	301	Шпилька M8х35 4.6 ГОСТ 15590-70
flange	flancy-11	Фланцы		ГОСТ 33259-2015	261	Фланец 10-11-1-B-IV ГОСТ 33259-2015
