слаг	заголовок	норматив	источник второго размера
troynik-1020h10-1000h10-ost-34-10-764-1997	Тройник 1020×10 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1020h18-1000h18-ost-34-10-764-1997	Тройник 1020×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1020h22-1000h22-ost-34-10-764-1997	Тройник 1020×22 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1020h25-1000h25-ost-34-10-764-1997	Тройник 1020×25 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-108h4-125h4-ost-34-10-764-1997	Тройник 108х4-125х4 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-108h6-100h6-ost-34-10-764-1997	Тройник 108×6 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1220h11-1200h11-ost-34-10-764-1997	Тройник 1220×11 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1220h18-1200h18-ost-34-10-764-1997	Тройник 1220×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1220h22-1200h22-ost-34-10-764-1997	Тройник 1220×22 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-133h4-150h4-ost-34-10-764-1997	Тройник 133х4-150х4 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-133h6-125h6-ost-34-10-764-1997	Тройник 133×6 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1420h14-1400h14-ost-34-10-764-1997	Тройник 1420×14 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1420h18-1400h18-ost-34-10-764-1997	Тройник 1420×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1420h22-1400h22-ost-34-10-764-1997	Тройник 1420×22 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-159h7-150h7-ost-34-10-764-1997	Тройник 159×7 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1620h14-1600h14-ost-34-10-764-1997	Тройник 1620×14 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1620h18-1600h18-ost-34-10-764-1997	Тройник 1620×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1620h22-1600h22-ost-34-10-764-1997	Тройник 1620×22 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-1620h25-1600h25-ost-34-10-764-1997	Тройник 1620×25 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-219h6-200h6-ost-34-10-764-1997	Тройник 219×6 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-219h7-250h7-ost-34-10-764-1997	Тройник 219х7-250х7 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-219h9-200h9-ost-34-10-764-1997	Тройник 219×9 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-273h6-250h6-ost-34-10-764-1997	Тройник 273×6 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-273h8-300h8-ost-34-10-764-1997	Тройник 273х8-300х8 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-325h10-300h10-ost-34-10-764-1997	Тройник 325×10 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-325h13-300h13-ost-34-10-764-1997	Тройник 325×13 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-325h16-300h16-ost-34-10-764-1997	Тройник 325×16 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-325h6-300h6-ost-34-10-764-1997	Тройник 325×6 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-325h8-300h8-ost-34-10-764-1997	Тройник 325×8 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-377h15-350h15-ost-34-10-764-1997	Тройник 377×15 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-377h18-350h18-ost-34-10-764-1997	Тройник 377×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-377h9-400h9-ost-34-10-764-1997	Тройник 377х9-400х9 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-38h2-125h2-ost-34-10-764-1997	Тройник 38х2-125х2 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-426h12-400h12-ost-34-10-764-1997	Тройник 426×12 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-426h16-400h16-ost-34-10-764-1997	Тройник 426×16 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-426h22-400h22-ost-34-10-764-1997	Тройник 426×22 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-426h9-500h9-ost-34-10-764-1997	Тройник 426х9-500х9 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-45h2-5-125h2-5-ost-34-10-764-1997	Тройник 45х2.5-125х2.5 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-530h11-500h11-ost-34-10-764-1997	Тройник 530×11 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-530h14-500h14-ost-34-10-764-1997	Тройник 530×14 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-530h8-600h8-ost-34-10-764-1997	Тройник 530х8-600х8 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-57h3-80h3-ost-34-10-764-1997	Тройник 57х3-80х3 ОСТ 34.10.764-1997	ost-34-10-764-97	есть в слаге — сверить с таблицей ОСТ
troynik-630h10-600h10-ost-34-10-764-1997	Тройник 630×10 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-630h14-600h14-ost-34-10-764-1997	Тройник 630×14 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-630h18-600h18-ost-34-10-764-1997	Тройник 630×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-720h11-700h11-ost-34-10-764-1997	Тройник 720×11 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-720h14-700h14-ost-34-10-764-1997	Тройник 720×14 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-720h18-700h18-ost-34-10-764-1997	Тройник 720×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-76h3-65h3-ost-34-10-764-1997	Тройник 76×3 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-820h11-800h11-ost-34-10-764-1997	Тройник 820×11 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-820h12-800h12-ost-34-10-764-1997	Тройник 820×12 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-820h14-800h14-ost-34-10-764-1997	Тройник 820×14 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-820h18-800h18-ost-34-10-764-1997	Тройник 820×18 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-820h22-800h22-ost-34-10-764-1997	Тройник 820×22 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-89h3-5-80h3-5-ost-34-10-764-1997	Тройник 89×3.5 ОСТ 34.10.764-1997	ost-34-10-764-97	потерян
troynik-108h4-ost-34-42-676-1984	Тройник 108х4 ОСТ 34-42-676-1984	ost-34-42-676-1984	потерян
troynik-219h9-ost-34-42-676-1984	Тройник 219х9 ОСТ 34-42-676-1984	ost-34-42-676-1984	потерян
